"cluster","threshold","distance","on_edge","criterion"
"south",0.975,6.32856649422702,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,7.0346345700281,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.0957535161125204,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,7.80508622783604,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.22685031330026,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,8.62268034558914,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,1.2060268251113,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,9.47522134245923,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,2.18520333692146,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,10.3540803774693,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,3.1643798487325,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,8.67327128252467,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,8.86798455840981,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,9.07905314061515,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,9.2901217228205,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,9.50119030502585,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,9.7122588872312,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,9.92332746943654,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,11.2530928755495,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,4.14355636054354,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,9.66247718317728,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,10.9002263932656,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,12.1677925646571,FALSE,"High-evidence zone (P >= 0.975)"
